id,fecha,latitud,longitud,direccion,barrioNombre,altura,fuste,faseVital,estadoFitosanitario,inclinacion,ahuecamiento,problemaDesrames,problemaDescalzado,problemaFustePartido,problemaObjetoExtranio,problemaGrieta,problemaDesequilibrioCopa,manejoInadecuado,intervenciones,distForestalAdecuada,interf,cazuela,levantamientoVereda,observaciones,especieNombre,lugarRelevamientoNombre,tipoLugarNombre
55216,7/2/2018,-31.41880201,-64.17027388,906,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Inadecuada,Leve,,Palmera Pindó,Americo Vespucio 900-1000,Calle
55217,7/2/2018,-31.41880688,-64.17021219,916,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,TRUE,TRUE,Adecuada,Leve,,Siempre Verde,Americo Vespucio 900-1000,Calle
55218,7/2/2018,-31.41880745,-64.17016055,924,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 900-1000,Calle
55219,7/2/2018,-31.41883177,-64.17011362,930,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Bueno,Leve,Leve,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Guaran Amarillo,Americo Vespucio 900-1000,Calle
55220,7/2/2018,-31.41886782,-64.16999929,932,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Bueno,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Ficus Benjamina,Americo Vespucio 900-1000,Calle
55221,7/2/2018,-31.41887469,-64.16990407,942,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Sin intervenciones,TRUE,FALSE,Adecuada,No,,Otra especie,Americo Vespucio 900-1000,Calle
55222,7/2/2018,-31.41889099,-64.16982327,958,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,Leve,,Lapacho Rosado,Americo Vespucio 900-1000,Calle
55223,7/2/2018,-31.41890873,-64.16973509,976,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,Leve,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Brachichito,Americo Vespucio 900-1000,Calle
55224,7/2/2018,-31.41892991,-64.16960936,986,Juniors,Menor a 4m.,"Menor a 0,10m.",Decrépito,Muerto,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Severo,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Otra especie,Americo Vespucio 900-1000,Calle
55225,7/2/2018,-31.41894536,-64.16949973,994,Juniors,Entre 7m. y 10m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Leve,Mantenimiento,TRUE,TRUE,Franja Verde,Leve,,Roble Sedoso,Americo Vespucio 900-1000,Calle
55268,7/2/2018,-31.41899686,-64.16923989,/-1002,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,Esquina La Plata 503,Ligustro Aureo,Americo Vespucio 1000-1100,Calle
55269,7/2/2018,-31.41901202,-64.1691678,/-1002,Juniors,Entre 4m. y 7m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,Leve,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,TRUE,Franja Verde,No,Esquina La Plata 503,Ligustro Aureo,Americo Vespucio 1000-1100,Calle
55270,7/2/2018,-31.4190249,-64.16908264,1018,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55271,7/2/2018,-31.41903892,-64.16899983,1018,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55272,7/2/2018,-31.41905437,-64.16893478,1028,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55273,7/2/2018,-31.4190681,-64.16886806,1028,Juniors,Menor a 4m.,"Menor a 0,10m.",Joven,Bueno,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Otra especie,Americo Vespucio 1000-1100,Calle
55274,7/2/2018,-31.41908098,-64.1688,1040,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55275,7/2/2018,-31.41909213,-64.16873697,1040,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Leve,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55276,7/2/2018,-31.41910673,-64.16867897,1046,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,TRUE,FALSE,Franja Verde,No,,Siempre Verde,Americo Vespucio 1000-1100,Calle
55277,7/2/2018,-31.41910816,-64.16862968,1056,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Decrépito,Malo,Leve,Severo,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Severo,Varias intervenciones,TRUE,FALSE,Adecuada,No,,Fresno Americano,Americo Vespucio 1000-1100,Calle
55278,7/2/2018,-31.41911903,-64.16858006,1056,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Decrépito,Malo,Leve,Severo,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,Severo,Varias intervenciones,TRUE,FALSE,Inadecuada,Leve,,Fresno Americano,Americo Vespucio 1000-1100,Calle
55279,7/2/2018,-31.41913019,-64.16853581,1070,Juniors,Menor a 4m.,"Entre 0,10m. y 0,40m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,No,Mantenimiento,FALSE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
55280,7/2/2018,-31.41913391,-64.16850261,1070,Juniors,Menor a 4m.,"Menor a 0,10m.",Maduro,Regular,No,No,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Leve,Mantenimiento,FALSE,FALSE,Franja Verde,No,,Crespón,Americo Vespucio 1000-1100,Calle
