Tags;Checked;Name;Formula;Annot. Source: Predicted Compositions;Annot. Source: mzCloud Search;Annot. Source: mzVault Search;Annot. Source: ChemSpider Search;Annot. Source: MassList Search;Annot. DeltaMass [ppm];Calc. MW;m/z;RT [min];Area (Max.);# ChemSpider Results;# mzCloud Results;# mzVault Results;mzCloud Best Match;mzCloud Best Match Confidence;mzCloud Best Sim. Match;mzVault Best Match;Mass List Match: Endogenous Metabolites database 4400 compounds;Mass List Match: Natural Products Atlas 2020_06;MS2;Reference Ion;Area: JB10553.raw (F1);Area: JB10553_20250303023609.raw (F2);Peak Rating: JB10553.raw (F1);Peak Rating: JB10553_20250303023609.raw (F2)
;FALSO;Acetohydroxamic acid;C2 H5 N O2;Full match;Full match;No results;Partial match;Full match;0,78;75,03209;76,03936;1,96;4162068,464;10;1;0;99,7;10;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;4094390,41;4162068,464;7,5;7,5
;FALSO;Creatinine;C4 H7 N3 O;Full match;Full match;No results;Partial match;Full match;-0,35;113,05887;114,06615;1,342;103269179,9;3;1;0;99,6;10;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;103269179,9;100770909;8,4;8,4
;FALSO;D-(+)-Pyroglutamic Acid;C5 H7 N O3;Full match;Full match;No results;Full match;Full match;0,2;129,04262;130,0499;2,67;9400175,072;17;5;0;99,6;10;57,4;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;9400175,072;8542527,531;7,3;6,2
;FALSO;L-(-)-Methionine;C5 H11 N O2 S;Full match;Full match;No results;Full match;Full match;-0,26;149,05101;150,05828;1,962;59182065,04;13;2;0;99,5;95,1;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;59182065,04;58736202,99;8,4;8,4
;FALSO;L-(+)-Citrulline;C6 H13 N3 O3;Full match;Full match;No results;Full match;Full match;0,04;175,0957;176,10297;1,281;22908236,93;7;1;0;99,3;95,1;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;22908236,93;21663172,12;9,5;9,5
;FALSO;Acetyl-L-carnitine;C9 H17 N O4;Full match;Full match;No results;Full match;Full match;-1,08;203,11554;204,12281;1,962;155167837,5;10;1;0;99,3;68,5;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;155167837,5;152913252,3;8,9;8,9
;FALSO;Caffeine;C8 H10 N4 O2;Full match;Full match;No results;Full match;Full match;-1,25;194,08013;195,08741;4,651;102360984,2;7;3;0;99,2;68,2;;;Single match found;Single match found;DDA for preferred ion;[M+H]+1;100055815,5;102360984,2;9,5;9,5
;FALSO;Acetyl-L-carnitine;C9 H17 N O4;Full match;Full match;No results;Full match;Full match;-0,1;203,11574;204,12301;2,143;29828225,67;10;1;0;99,2;67,9;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;24512950,09;29828225,67;6,7;7,3
;FALSO;Acetyl-L-carnitine;C9 H17 N O4;Full match;Full match;No results;Full match;Full match;-0,06;203,11575;204,12302;2,218;15358697,47;10;1;0;99,1;67,7;;;Single match found;No matches found;DDA for preferred ion;[M+H]+1;12818633,46;15358697,47;7,8;7,8
;FALSO;Valine;C5 H11 N O2;Full match;Full match;No results;Full match;Full match;-1,24;117,07883;118,08611;1,819;495815199,9;40;3;0;99;9,9;;;Multiple matches found;No matches found;DDA for preferred ion;[M+H]+1;495815199,9;489368160,8;8,4;8,4
;FALSO;DL-Carnitine;C7 H15 N O3;Full match;Full match;No results;Full match;Partial match;-0,26;161,10515;162,11243;1,291;74207482,55;7;3;0;98,9;66,5;;;Multiple matches found;Single match found;DDA for preferred ion;[M+H]+1;74164023,98;74207482,55;8,4;8,4
